GEO_ID,NAME,TOTAL,WHITE,BLACK,AIAH,ASIAN,NHOPI,OTHER,TWOMORE
1500000US421010022002,"Block Group 2, Census Tract 22, Philadelphia County, Pennsylvania",700,347,240,3,27,0,21,62
1500000US421010022003,"Block Group 3, Census Tract 22, Philadelphia County, Pennsylvania",1202,518,478,5,92,0,43,66
1500000US421010023001,"Block Group 1, Census Tract 23, Philadelphia County, Pennsylvania",1140,728,67,9,151,0,108,77
1500000US421010023002,"Block Group 2, Census Tract 23, Philadelphia County, Pennsylvania",1903,1310,74,7,246,0,96,170
1500000US421010024001,"Block Group 1, Census Tract 24, Philadelphia County, Pennsylvania",811,619,26,0,56,0,46,64
1500000US421010024002,"Block Group 2, Census Tract 24, Philadelphia County, Pennsylvania",1441,810,60,8,315,0,142,106
1500000US421010024003,"Block Group 3, Census Tract 24, Philadelphia County, Pennsylvania",1449,944,52,8,226,0,90,129
1500000US421010024004,"Block Group 4, Census Tract 24, Philadelphia County, Pennsylvania",755,399,22,9,193,1,65,66
1500000US421010024005,"Block Group 5, Census Tract 24, Philadelphia County, Pennsylvania",1168,678,206,9,120,0,75,80
1500000US421010025001,"Block Group 1, Census Tract 25, Philadelphia County, Pennsylvania",1347,707,373,0,122,0,43,102
1500000US421010025002,"Block Group 2, Census Tract 25, Philadelphia County, Pennsylvania",934,743,40,2,52,1,39,57
1500000US421010025003,"Block Group 3, Census Tract 25, Philadelphia County, Pennsylvania",785,420,129,1,117,1,68,49
1500000US421010025004,"Block Group 4, Census Tract 25, Philadelphia County, Pennsylvania",1327,490,545,7,115,2,66,102
1500000US421010027011,"Block Group 1, Census Tract 27.01, Philadelphia County, Pennsylvania",2217,977,265,20,392,0,383,180
1500000US421010027012,"Block Group 2, Census Tract 27.01, Philadelphia County, Pennsylvania",1983,933,253,28,409,2,193,165
1500000US421010027021,"Block Group 1, Census Tract 27.02, Philadelphia County, Pennsylvania",2223,1894,48,3,103,0,45,130
1500000US421010027022,"Block Group 2, Census Tract 27.02, Philadelphia County, Pennsylvania",2045,1651,78,5,108,0,45,158
1500000US421010028011,"Block Group 1, Census Tract 28.01, Philadelphia County, Pennsylvania",2119,926,100,14,513,1,428,137
1500000US421010028012,"Block Group 2, Census Tract 28.01, Philadelphia County, Pennsylvania",2245,801,108,30,559,0,527,220
1500000US421010028021,"Block Group 1, Census Tract 28.02, Philadelphia County, Pennsylvania",1867,1225,35,23,313,1,183,87
1500000US421010028022,"Block Group 2, Census Tract 28.02, Philadelphia County, Pennsylvania",1639,1345,20,20,119,1,48,86
1500000US421010028023,"Block Group 3, Census Tract 28.02, Philadelphia County, Pennsylvania",1869,1133,26,13,365,0,191,141
1500000US421010029001,"Block Group 1, Census Tract 29, Philadelphia County, Pennsylvania",1501,1236,32,3,92,0,29,109
1500000US421010029002,"Block Group 2, Census Tract 29, Philadelphia County, Pennsylvania",829,648,18,4,55,0,21,83
1500000US421010029003,"Block Group 3, Census Tract 29, Philadelphia County, Pennsylvania",2021,1693,36,2,112,0,48,130
1500000US421010030011,"Block Group 1, Census Tract 30.01, Philadelphia County, Pennsylvania",707,235,40,5,345,0,48,34
1500000US421010030012,"Block Group 2, Census Tract 30.01, Philadelphia County, Pennsylvania",794,392,42,1,276,0,56,27
1500000US421010030013,"Block Group 3, Census Tract 30.01, Philadelphia County, Pennsylvania",998,333,116,11,431,0,55,52
1500000US421010030014,"Block Group 4, Census Tract 30.01, Philadelphia County, Pennsylvania",1073,257,251,0,469,0,47,49
1500000US421010030015,"Block Group 5, Census Tract 30.01, Philadelphia County, Pennsylvania",616,196,137,2,203,1,31,46
1500000US421010030021,"Block Group 1, Census Tract 30.02, Philadelphia County, Pennsylvania",928,433,258,7,93,0,56,81
1500000US421010030022,"Block Group 2, Census Tract 30.02, Philadelphia County, Pennsylvania",836,339,357,3,38,0,38,61
1500000US421010030023,"Block Group 3, Census Tract 30.02, Philadelphia County, Pennsylvania",855,429,270,10,53,0,23,70
1500000US421010030024,"Block Group 4, Census Tract 30.02, Philadelphia County, Pennsylvania",910,381,278,7,118,0,68,58
1500000US421010031001,"Block Group 1, Census Tract 31, Philadelphia County, Pennsylvania",1382,621,484,4,101,0,52,120
1500000US421010031002,"Block Group 2, Census Tract 31, Philadelphia County, Pennsylvania",592,195,283,2,57,0,18,37
1500000US421010031003,"Block Group 3, Census Tract 31, Philadelphia County, Pennsylvania",595,147,304,6,76,0,25,37
1500000US421010031004,"Block Group 4, Census Tract 31, Philadelphia County, Pennsylvania",887,239,474,4,63,0,39,68
1500000US421010031005,"Block Group 5, Census Tract 31, Philadelphia County, Pennsylvania",960,368,441,3,71,0,26,51
1500000US421010031006,"Block Group 6, Census Tract 31, Philadelphia County, Pennsylvania",673,189,386,1,30,0,15,52
1500000US421010032001,"Block Group 1, Census Tract 32, Philadelphia County, Pennsylvania",795,317,371,5,41,0,22,39
1500000US421010032002,"Block Group 2, Census Tract 32, Philadelphia County, Pennsylvania",555,137,318,1,26,0,23,50
1500000US421010032003,"Block Group 3, Census Tract 32, Philadelphia County, Pennsylvania",967,150,687,5,31,0,36,58
1500000US421010032004,"Block Group 4, Census Tract 32, Philadelphia County, Pennsylvania",885,204,546,4,31,1,42,57
1500000US421010032005,"Block Group 5, Census Tract 32, Philadelphia County, Pennsylvania",475,58,358,1,22,0,24,12
1500000US421010032006,"Block Group 6, Census Tract 32, Philadelphia County, Pennsylvania",834,188,502,5,22,0,78,39
1500000US421010033001,"Block Group 1, Census Tract 33, Philadelphia County, Pennsylvania",1776,495,926,8,156,0,90,101
1500000US421010033002,"Block Group 2, Census Tract 33, Philadelphia County, Pennsylvania",664,127,437,4,28,0,40,28
1500000US421010033003,"Block Group 3, Census Tract 33, Philadelphia County, Pennsylvania",738,185,433,5,37,0,35,43
1500000US421010033004,"Block Group 4, Census Tract 33, Philadelphia County, Pennsylvania",1169,331,574,24,141,0,25,74
1500000US421010033005,"Block Group 5, Census Tract 33, Philadelphia County, Pennsylvania",998,468,382,7,51,0,20,70
1500000US421010033006,"Block Group 6, Census Tract 33, Philadelphia County, Pennsylvania",962,101,748,0,37,2,34,40
1500000US421010036001,"Block Group 1, Census Tract 36, Philadelphia County, Pennsylvania",1899,551,493,0,741,1,33,80
1500000US421010036002,"Block Group 2, Census Tract 36, Philadelphia County, Pennsylvania",1128,180,580,0,249,1,50,68
1500000US421010036003,"Block Group 3, Census Tract 36, Philadelphia County, Pennsylvania",2204,327,1495,12,193,6,54,117
1500000US421010036004,"Block Group 4, Census Tract 36, Philadelphia County, Pennsylvania",1340,181,815,3,228,0,67,46
1500000US421010037011,"Block Group 1, Census Tract 37.01, Philadelphia County, Pennsylvania",1120,359,446,5,210,2,38,60
1500000US421010037012,"Block Group 2, Census Tract 37.01, Philadelphia County, Pennsylvania",1017,259,358,0,281,0,64,55
1500000US421010037013,"Block Group 3, Census Tract 37.01, Philadelphia County, Pennsylvania",1177,257,687,7,133,0,43,50
1500000US421010037014,"Block Group 4, Census Tract 37.01, Philadelphia County, Pennsylvania",1281,171,743,3,214,2,55,93
1500000US421010037015,"Block Group 5, Census Tract 37.01, Philadelphia County, Pennsylvania",1511,232,993,10,117,1,87,71
1500000US421010037021,"Block Group 1, Census Tract 37.02, Philadelphia County, Pennsylvania",1558,486,409,4,538,0,47,74
1500000US421010037022,"Block Group 2, Census Tract 37.02, Philadelphia County, Pennsylvania",1472,432,692,7,189,0,75,77
1500000US421010037023,"Block Group 3, Census Tract 37.02, Philadelphia County, Pennsylvania",648,142,316,2,109,0,35,44
1500000US421010038001,"Block Group 1, Census Tract 38, Philadelphia County, Pennsylvania",967,883,12,0,19,1,19,33
1500000US421010038002,"Block Group 2, Census Tract 38, Philadelphia County, Pennsylvania",882,711,27,0,88,0,19,37
1500000US421010038003,"Block Group 3, Census Tract 38, Philadelphia County, Pennsylvania",954,814,8,0,86,0,10,36
1500000US421010038004,"Block Group 4, Census Tract 38, Philadelphia County, Pennsylvania",17,9,1,0,3,0,0,4
